planet,planet_mass_mjup,planet_radius_rjup,temp_calculated_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
TOI-179 b,0.0758,0.2436,0.0476,TOI-179,0.807,0.798,0.3,5083,935
TOI-1807 b,0.00809,0.1222,0.012,TOI-1807,0.75,0.68,0.18,4757,1499
TOI-1811 b,0.974,1,0.04393,TOI-1811,0.819,0.773,6,4673,961
TOI-1820 b,2.3,1.12,0.069,TOI-1820,1.04,1.51,11,5734,1295
TOI-1899 b,0.67,0.99,0.1525,TOI-1899,0.627,0.607,7.4,3841,378
TOI-1937 b,2.01,1.247,0.01932,TOI-1937,1.072,1.08,3.6,5814,2097
TOI-1994 b,22.1,1.22,0.0613,TOI-1994,1.86,2.3,0.94,7700,2290
TOI-2000 b,0.0324,0.2355,0.0426,TOI-2000,1.074,1.113,5.1,5607,1475
TOI-2000 c,0.2382,0.711,0.0875,TOI-2000,1.074,1.113,5.1,5607,1029
TOI-201 b,0.42,1,0.3,TOI-201,1.316,1.317,0.87,6394,759
TOI-2010 b,1.286,1.054,0.5516,TOI-2010,1.112,1.075,1.9,5929,400
TOI-2015 b,0.0418,0.3024,0.03,TOI-2015,0.342,0.333,6.8,3194,360
TOI-2025 b,4.4,1.12,0.089,TOI-2025,1.32,1.56,1.7,5880,1186
TOI-2068 b,0.0138,0.1624,0.0632,TOI-2068,0.559,0.535,7,3710,521
TOI-2084 b,0.02121,0.2204,0.05006,TOI-2084,0.49,0.475,7.5,3550,527
TOI-2136 b,0.0148,0.1865,0.054,TOI-2136,0.34,0.34,4.6,3342,378
TOI-2141 b,0.076,0.2721,0.133,TOI-2141,0.94,0.98,6.4,5659,722
TOI-2145 b,5.56,1.103,0.111,TOI-2145,1.72,2.738,1.79,6189,1484
TOI-2152 b,2.83,1.281,0.05064,TOI-2152,1.516,1.612,0.83,6630,1800
TOI-2154 b,0.92,1.453,0.0513,TOI-2154,1.233,1.396,2.9,6280,1589
TOI-2158 b,0.82,0.96,0.074,TOI-2158,1.12,1.41,8,5673,1188
TOI-2180 b,2.755,1.01,0.828,TOI-2180,1.111,1.636,8.1,5695,348
TOI-2193 b,0.94,1.77,0.03319,TOI-2193,1.082,1.248,5.5,5966,1763
TOI-2196 b,0.082,0.3131,0.02234,TOI-2196,1.032,1.043,4.5,5634,1860
TOI-220 b,0.0428,0.2694,0.0892,TOI-220,0.825,0.858,10.1,5298,806
TOI-2207 b,0.64,0.995,0.0854,TOI-2207,1.296,1.564,3.3,6101,1259
TOI-2338 b,5.98,1,0.158,TOI-2338,0.99,1.05,7,5581,799
TOI-2364 b,0.225,0.768,0.04871,TOI-2364,0.954,0.886,3.5,5306,1091
TOI-2373 b,9.3,0.93,0.112,TOI-2373,1.04,1.1,5.9,5651,860
TOI-2374 b,0.17821,0.607,0.0471,TOI-2374,0.75,0.69,4.1,4802,810
TOI-238 c,0.0211,0.1945,0.0749,TOI-238,0.788,0.75,6,5080,696
TOI-2497 b,5.21,1,0.1167,TOI-2497,1.86,2.358,1,7360,1596
TOI-2498 b,0.10893,0.5406,0.0491,TOI-2498,1.12,1.26,3.6,5905,1443
TOI-2524 b,0.64,1,0.073,TOI-2524,1.01,1.12,6.7,5831,1100
TOI-257 b,0.134,0.626,0.1523,TOI-257,1.389,1.926,3.11,6075,1033
TOI-2583 b,0.25,1.29,0.0571,TOI-2583A,1.215,1.477,4.4,5936,1456
TOI-2587 b,0.218,1.077,0.0635,TOI-2587,1.15,1.726,6.7,5760,1445
TOI-2589 b,3.5,1.08,0.3,TOI-2589,0.93,1.07,11,5579,592
TOI-263 b,61.6,0.91,0.0098,TOI-263,0.4,0.405,4.75,3250,1020
TOI-2796 b,0.44,1.59,0.04089,TOI-2796,1.063,1.069,4,5764,1205
TOI-2803 b,0.975,1.616,0.03185,TOI-2803,1.118,1.245,3.7,6280,1893
TOI-2818 b,0.71,1.363,0.0493,TOI-2818,0.977,1.229,9.5,5721,1376
TOI-2842 b,0.37,1.146,0.0475,TOI-2842,1.135,1.265,4.7,5910,1471
TOI-2977 b,1.68,1.174,0.03386,TOI-2977,0.936,1.073,9.8,5691,1544
TOI-3023 b,0.62,1.466,0.0505,TOI-3023,1.12,1.668,7,5760,1596
TOI-3071 b,0.2146,0.6388,0.0249,TOI-3071,1.29,1.31,4.9,6177,1971
TOI-332 b,0.18,0.285,0.0159,TOI-332,0.88,0.87,5,5251,1870
TOI-3364 b,1.67,1.091,0.0675,TOI-3364,1.186,1.419,5.4,5706,1264
TOI-3629 b,0.26,0.74,0.043,TOI-3629,0.63,0.6,7,3870,711
TOI-3688 b,0.98,1.167,0.0456,TOI-3688,1.2,1.302,3.3,5950,1534
TOI-3714 b,0.689,0.994,0.0263,TOI-3714,0.53,0.51,2.9,3660,764
TOI-3757 b,0.2684,1.07,0.03845,TOI-3757,0.64,0.62,7.1,3913,759
TOI-3785 b,0.04704,0.4586,0.043,TOI-3785,0.52,0.5,8,3576,582
TOI-3807 b,1.04,2,0.0421,TOI-3807,1.181,1.468,5.6,5772,1646
TOI-3819 b,1.11,1.172,0.04611,TOI-3819,1.242,1.538,4.5,5859,1633
TOI-3912 b,0.406,1.274,0.0463,TOI-3912,1.088,1.392,7.5,5725,1512
TOI-3976 b,0.175,1.095,0.0743,TOI-3976,1.254,1.501,3.8,5975,1295
TOI-402 b,0.02051,0.1579,0.05245,TOI-402,0.851,0.839,7.5,5131,3109
TOI-4087 b,0.73,1.164,0.04469,TOI-4087,1.178,1.112,0.8,6060,1458
TOI-4145 b,0.43,1.187,0.04823,TOI-4145,0.905,0.859,4.7,5281,1074
TOI-4184 b,6.6,0.2168,0.0336,TOI-4184,0.24,0.252,6.7,3225,412
TOI-4438 b,0.017,0.2248,0.0534,TOI-4438,0.368,0.372,5.1,3422,400
TOI-4463 b,0.794,1.183,0.04035,TOI-4463,1.056,1.062,4.1,5640,1395
TOI-4481 b,0.006,0.11874,0.01406,TOI-4481,0.413,0.4144,4.5,3600,940
TOI-4515 b,2,1.09,0.118,TOI-4515,0.95,0.86,1.2,5433,705
TOI-4559 b,0.0085,0.12624,0.036,TOI-4559,0.392,0.374,7,3558,554
TOI-4603 b,12.89,1.042,0.0888,TOI-4603,1.752,2.722,1.98,6189,1677
TOI-469 b,0.0186,0.3105,0.107,TOI-469,0.91,1,11.7,5283,777
TOI-469 c,0.0142,0.141,0.0436,TOI-469,0.91,1,11.7,5283,1217
TOI-469 d,0.016,0.1222,0.0649,TOI-469,0.91,1,11.7,5283,998
TOI-4791 b,2.31,1.11,0.0555,TOI-4791,1.242,1.409,3.3,6058,1472
TOI-4987 b,12.37,1.93,0.0656,TOI-4987,1.41,2.35,9.35,6935,2000
TOI-5153 b,3.26,1.06,0.158,TOI-5153,1.24,1.4,5.4,6300,906
TOI-532 b,0.1935,0.5192,0.0296,TOI-532,0.639,0.612,7.1,3957,867
TOI-5344 b,0.42,0.87,0.04,TOI-5344,0.612,0.588,10.9,3747,679
TOI-5542 b,1.32,1.009,0.332,TOI-5542,0.89,1.058,10.8,5700,441
TOI-558 b,3.61,1.086,0.1291,TOI-558,1.349,1.496,1.79,6466,1061
TOI-559 b,6.01,1.091,0.0723,TOI-559,1.026,1.233,6.8,5925,1180
TOI-564 b,1.463,1.02,0.02734,TOI-564,1.1,1.04,7.3,5666,1714
TOI-5678 b,0.063,0.438,0.249,TOI-5678,0.905,0.938,8.5,5485,513
TOI-5799 b,0.0116,0.14497,0.0352,TOI-5799,0.337,0.328,7,3514,518
TOI-620 b,0.0485,0.3354,0.04825,TOI-620,0.577,0.55,7.2,3708,604
TOI-628 b,6.33,1.06,0.0486,TOI-628,1.311,1.345,1.28,6250,1586
TOI-640 b,0.88,1.771,0.06608,TOI-640,1.536,2.082,1.99,6460,1749
TOI-674 b,0.0739,0.4693,0.0231,TOI-674,0.442,0.421,5.5,3505,661
TOI-677 b,1.234,1.17,0.1038,TOI-677,1.18,1.28,2.92,6295,1252
TOI-700 d,0.00711,0.09573,0.1633,TOI-700,0.416,0.42,1.5,3480,295
TOI-712 b,0.0176,0.1828,0.07928,TOI-712,0.732,0.674,0.83,4622,650
TOI-712 c,0.0274,0.241,0.2447,TOI-712,0.732,0.674,0.83,4622,370
TOI-712 d,0.0236,0.22072,0.3405,TOI-712,0.732,0.674,0.83,4622,313.6
TOI-732 b,0.00774,0.11821,0.01195,TOI-732,0.38,0.38,3.1,3358,903
TOI-732 c,0.0253,0.2132,0.0757,TOI-732,0.38,0.38,3.1,3358,359
TOI-733 b,0.018,0.1775,0.0618,TOI-733,0.956,0.95,4.4,5585,1055.8
TOI-762 Ab,0.251,0.744,0.03418,TOI-762 A,0.442,0.425,9.3,3266,555.4
TOI-776 b,0.01466,0.1633,0.0652,TOI-776,0.544,0.538,7.8,3709,513
TOI-776 c,0.0192,0.1838,0.1,TOI-776,0.544,0.538,7.8,3709,415
TOI-836 b,0.01425,0.15202,0.0422,TOI-836,0.678,0.665,5.4,4552,871
TOI-836 c,0.0302,0.2308,0.075,TOI-836,0.678,0.665,5.4,4552,665
TOI-849 b,0.1315,0.30726,0.0155,TOI-849,0.929,0.919,6.7,5375.3,1800
TOI-858 B b,1.1,1.255,0.04445,TOI-858 B,1.08,1.3,6.8,5842,1530
TOI-905 b,0.667,1.171,0.04666,TOI-905,0.85,1.14,3.4,5300,1192
TOI-908 b,0.050773,0.28424,0.041657,TOI-908,0.95,1.028,4.6,5626,1317
TOI-954 b,0.174,0.852,0.04963,TOI-954,1.201,1.892,6.14,5710,1526
TOI-969 b,0.0286,0.24668,0.02636,TOI-969,0.734,0.671,4.76,4435,941
TRAPPIST-1 b,0.0027,0.09689,0.01111,TRAPPIST-1,0.08,0.117,7.6,2560,400.1
TRAPPIST-1 c,0.00434,0.09421,0.01521,TRAPPIST-1,0.08,0.117,7.6,2560,341.9
TRAPPIST-1 d,0.0013,0.0689,0.02144,TRAPPIST-1,0.08,0.117,7.6,2560,288
TRAPPIST-1 e,0.002,0.0819,0.02817,TRAPPIST-1,0.08,0.117,7.6,2560,251.3
TRAPPIST-1 f,0.0021,0.09323,0.0371,TRAPPIST-1,0.08,0.117,7.6,2560,219
TRAPPIST-1 g,0.00422,0.1005,0.0451,TRAPPIST-1,0.08,0.117,7.6,2560,198.6
TRAPPIST-1 h,0.001041,0.0674,0.063,TRAPPIST-1,0.08,0.117,7.6,2560,168
TrES-2 A b,1.253,1.189,0.03555,TrES-2 A,0.98,1,5.1,5850,1455
TYC 8252-533-1 b,52,3.5,570,TYC 8252-533-1,1.2,1.54,0.005,4500,3092
TYC 9486-927-1 b,23.8,1.39,6900,TYC 9486-927-1,0.644,0.6728,0.027,3592,1663
WASP-101 b,0.5,1.41,0.0506,WASP-101,1.34,1.29,0.9,6400,1560
WASP-103 b,1.49,1.528,0.01985,WASP-103,1.22,1.436,4,6110,2508
WASP-108 b,1.167,1.215,0.0397,WASP-108,1.167,1.215,4.6,6000,1590
WASP-109 b,0.91,1.443,0.0463,WASP-109,1.203,1.346,2.6,6520,1695
WASP-110 b,0.515,1.238,0.0457,WASP-110,0.892,0.881,8.6,5400,1134
WASP-111 b,1.85,1.442,0.03914,WASP-111,1.5,1.85,2.6,6400,2140
WASP-112 b,0.88,1.191,0.0382,WASP-112,0.807,1.002,10.6,5610,1395
WASP-117 b,0.2755,1.021,0.09459,WASP-117,1.126,1.17,4.6,6040,1024
WASP-118 b,0.514,1.44,0.05453,WASP-118,1.32,1.7,1.17,6410,1729
WASP-119 b,1.23,1.4,0.0363,WASP-119,1.02,1.2,8,5650,1600
WASP-12 b,1.47,1.9,0.02344,WASP-12,1.434,1.657,1.7,6360,2593
WASP-124 b,0.6,1.24,0.0499,WASP-124,1.07,1.02,2.1,6050,1400
WASP-126 b,0.2841,0.96,0.0449,WASP-126,1.12,1.27,6.4,5800,1480
WASP-129 b,1,0.93,0.0628,WASP-129,1,0.9,1,5900,1100
WASP-130 b,1.23,0.89,0.1012,WASP-130,1.04,0.96,2,5625,833
WASP-131 b,0.27,1.22,0.0607,WASP-131,1.06,1.53,4.5,6030,1400
WASP-132 b,0.428,0.901,0.067,WASP-132,0.789,0.758,7.2,4686,682
WASP-132 c,0.0197,0.16424,0.01833,WASP-132,0.789,0.758,7.2,4686,1329
WASP-133 b,1.16,1.21,0.0345,WASP-133,1.16,1.44,6.8,5700,1790
WASP-134 b,1.412,0.988,0.0956,WASP-134,1.131,1.16,5.1,5700,953
WASP-137 b,0.681,1.27,0.0519,WASP-137,1.216,1.65,4.3,6100,1601
WASP-140 b,2.44,1.44,0.0323,WASP-140,0.9,0.87,1.6,5260,1320
WASP-141 b,2.69,1.21,0.0469,WASP-141,1.25,1.37,4,5900,1540
WASP-142 b,0.84,1.53,0.0347,WASP-142,1.33,1.64,2,6010,2000
WASP-143 b,0.725,1.234,0.049,WASP-143,1.087,1,1.9,5900,1325
WASP-144 b,0.44,0.85,0.0316,WASP-144,0.81,0.81,0.5,4950,1260
WASP-145 A b,0.89,0.9,0.0261,WASP-145 A,0.76,0.68,0.5,4900,1200
WASP-146 b,1.11,1.228,0.0451,WASP-146,1.057,1.29,6.9,6100,1486
WASP-156 b,0.1303,0.554,0.0451,WASP-156,0.842,0.76,6.4,4910,972
WASP-157 b,0.576,0.998,0.0499,WASP-157,1.06,1.1,1,5772,1193
WASP-158 b,2.79,1.07,0.0517,WASP-158,1.38,1.39,1.7,6350,1590
WASP-159 b,0.55,1.38,0.0538,WASP-159,1.41,2.11,5,6000,1850
WASP-162 b,5.2,1,0.0871,WASP-162,0.95,1.11,1,5300,910
WASP-166 b,0.102,0.6155,0.0668,WASP-166,1.19,1.22,2.1,6050,1270
WASP-168 b,0.42,1.5,0.0519,WASP-168,1.08,1.12,1,6000,1340
WASP-169 b,0.561,1.304,0.0681,WASP-169,1.337,2.011,3.8,6110,1604
WASP-171 b,1.084,0.988,0.0504,WASP-171,1.171,1.637,5.908,5965,1642
WASP-172 b,0.47,1.57,0.0694,WASP-172,1.49,1.91,1.2,6900,1740
WASP-175 b,0.99,1.208,0.044,WASP-175,1.212,1.204,1.745,6229,1571
WASP-177 b,0.508,1.58,0.03957,WASP-177,0.876,0.885,9.7,5017,1142
WASP-178 b,1.41,1.94,0.0558,WASP-178,1.93,1.801,0.43,8640,2402
WASP-18 b,10.4296,1.165,0.02047,WASP-18,1.24,1.23,0.63,6400,2069
WASP-181 b,0.299,1.184,0.05427,WASP-181,1.04,0.965,2.5,5839,1186
WASP-182 b,0.148,0.85,0.0451,WASP-182,1.076,1.34,5.952,5638,1479
WASP-183 b,0.502,1.47,0.04632,WASP-183,0.784,0.871,14.9,5313,1111
WASP-189 b,1.99,1.619,0.05053,WASP-189,1.887,2.33,0.855,7996,3353
WASP-19 b,1.139,1.41,0.016634,WASP-19,0.904,1.004,11.5,5500,2077
WASP-193 b,0.139,1.464,0.0676,WASP-193,1.12,1.225,6.6,6076,1254
WASP-20 A b,0.313,1.459,0.06003,WASP-20 A,1.202,1.392,7,5950,1379
WASP-28 b,0.907,1.213,0.04469,WASP-28,1.021,1.094,5,6150,1468
WASP-30 b,60.86,0.889,0.05325,WASP-30,1.166,0.889,2,6201,1474
WASP-36 b,2.279,1.269,0.02624,WASP-36,1.02,0.943,3,5881,1781
WASP-50 b,1.437,1.138,0.02913,WASP-50,0.861,0.855,8.1,5400,1394.84
WASP-55 b,0.61,1.33,0.0533,WASP-55,1.11,1.09,3,5900,1290
WASP-59 b,0.863,0.775,0.0697,WASP-59,0.719,0.613,0.5,4650,670
WASP-69 b,0.26,1.057,0.04525,WASP-69,0.826,0.813,2,4715,963
WASP-70 A b,0.59,1.164,0.04853,WASP-70 A,1.106,1.215,9.5,5763,1387
WASP-74 b,0.826,1.248,0.03443,WASP-74,1.48,1.64,2,5970,1865
WASP-75 b,1.07,1.27,0.0375,WASP-75,1.14,1.26,3.5,6100,1710
WASP-83 b,0.3,1.04,0.059,WASP-83,1.11,1.05,5,5480,1120
WASP-84 b,0.692,0.9564,0.0778,WASP-84,0.842,0.748,1,5314,732
WASP-84 c,0.0478,0.174,0.02359,WASP-84,0.842,0.748,1,5314,1329
WASP-87 A b,2.21,1.385,0.02946,WASP-87 A,1.204,1.627,3.8,6450,2322
WASP-89 b,5.9,1.04,0.0427,WASP-89,0.92,0.88,1.3,4955,1120
WASP-95 b,1.206,1.098,0.0312,WASP-95,1.11,1.13,2.4,5630,1692
WASP-96 b,0.48,1.2,0.0453,WASP-96,1.06,1.05,8,5540,1285
WASP-97 b,1.32,1.13,0.03303,WASP-97,1.12,1.06,11.9,5640,1555
WASP-98 b,0.83,1.1,0.036,WASP-98,0.69,0.7,3,5525,1180
WASP-99 b,2.78,1.1,0.0717,WASP-99,1.48,1.76,1.4,6180,1480
WD 0137-349 b,55.5,0.97,0.003,WD 0137-349,0.39,0.0186,0.25,16500,1970
Wolf 503 b,0.0197,0.18227,0.05706,Wolf 503,0.688,0.69,11,4716,790
WTS-2 b,1.12,1.3,0.01855,WTS-2,0.82,0.761,0.6,5000,2000
XO-4 b,1.616,1.317,0.05485,XO-4,1.32,1.55,2.1,5700,1641
XO-6 b,1.9,2.07,0.0815,XO-6,1.47,1.93,1.88,6720,1577
XO-7 b,0.726,1.346,0.04329,XO-7,1.405,1.48,1.18,6000,1612
Mercury,1.74E-04,0.034,440,Sun,3.90E-01,1,1,4.6,5778
Venus,2.57E-03,0.085,737,Sun,7.20E-01,1,1,4.6,5778
Mars,3.38E-04,0.047,210,Sun,1.5201173,1,1,4.6,5778
Jupiter,1,1,165,Sun,5.197878,1,1,4.6,5778
Saturn,0.299,0.843,134,Sun,9.570696,1,1,4.6,5778
Uranus,0.046,0.355,76,Sun,1.72E+01,1,1,4.6,5778
Neptune,0.054,0.344,72,Sun,3.01E+01,1,1,4.6,5778
Earth,0.00314558,0.08928571,288,Sun,1.00E+00,1,1,4.6,5778
