planet,planet_mass_mjup,planet_radius_rjup,temp_calculated_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
K2-287 b,0.315,0.847,0.1206,K2-287,1.06,1.07,4.5,5695,804
K2-29 Ab,0.73,1.19,0.04217,K2-29 A,0.935,0.817,2.6,5387.06,1171
K2-290 Ab,0.0343,0.273,0.0923,K2-290 A,1.19,1.51,4,6302,1230
K2-290 Ac,0.774,1.006,0.305,K2-290 A,1.19,1.51,4,6302,676
K2-292 b,0.07709,0.235,0.13,K2-292,1,1.09,6.8,5725,795
K2-3 b,0.02039,0.194,0.0775,K2-3,0.6,0.56,1,3896,463
K2-3 c,0.00673,0.165,0.1405,K2-3,0.6,0.56,1,3896,344
K2-3 d,0.00881,0.135,0.2086,K2-3,0.6,0.56,1,3896,282
K2-30 b,0.579,1.039,0.04839,K2-30,0.9,0.84,3.9,5425,1092
K2-309 b,0.076,0.68,0.1716,K2-309,1.1,1.305,0.023,4970,760
K2-309 c,0.0623,0.4675,0.0839,K2-309,1.1,1.305,0.023,4970,979
K2-309 d,0.113,0.5656,0.1101,K2-309,1.1,1.305,0.023,4970,855
K2-309 e,0.66,0.848,0.2667,K2-309,1.1,1.305,0.023,4970,549
K2-314 b,0.02753,0.174,0.047,EPIC 249893012,1.05,1.71,9,5430,1616
K2-314 c,0.04616,0.3274,0.13,EPIC 249893012,1.05,1.71,9,5430,990
K2-314 d,0.03203,0.3515,0.22,EPIC 249893012,1.05,1.71,9,5430,752
K2-329 b,0.26,0.774,0.1016,K2-329,0.901,0.822,1.8,5282,650
K2-36 b,0.01227,0.128,0.0223,K2-36,0.79,0.72,1.4,4916,1224
K2-36 c,0.02454,0.2783,0.054,K2-36,0.79,0.72,1.4,4916,788
K2-418 b,0.0327,0.2079,0.124,K2-418,0.97,1,4.9,5868,804
K2-60 b,0.426,0.683,0.045,K2-60,0.97,1.12,10,5500,1400
K2-95 b,1.67,0.346,0.0696,K2-95,0.44,0.42,0.8,3548,383
K2-97 b,1.1,0.947,0.086,K2-97,1.2,4.47,7.8,4717,1499
K2-98 b,0.101,0.464,0.0974,K2-98,1.2,1.57,5.2,6172,1092
K2-99 b,0.87,1.046,0.153,K2-99,1.63,2.63,2.4,6217,1184
kappa And b,13,1.2,100,kappa And,2.8,2.29,0.047,11361,1850
KELT-1 b,27.23,1.15,0.02472,KELT-1,1.335,1.471,1.75,6516,2423
KELT-10 b,0.679,1.399,0.0525,KELT-10,1.112,1.209,4.5,5948,1377
KELT-18 b,1.18,1.57,0.0455,KELT-18,1.524,1.908,1.9,6670,2120
KELT-20 b,3.518,1.83,0.0542,KELT-20,2,1.561,0.3,8981,2230
KELT-22A b,3.69,1.2,0.0248,Kelt-22A,1.05,1.11,5,5700,1880
KELT-23A b,0.938,1.323,0.03302,KELT-23A,0.942,0.996,6.4,5899,1561
KELT-4 A b,0.884,1.706,0.04321,KELT-4 A,1.204,1.61,4.38,6207,1827
KELT-7 b,1.24,1.293,0.0446,KELT-7,1.535,1.732,1.3,6789,2048
KELT-8 b,0.874,1.86,0.04571,KELT-8,1.211,1.67,5.4,5754,1675
Kepler-10 b,0.0145,0.132,0.0172,Kepler-10,0.91,1.06,10.6,5708,2130
Kepler-10 c,0.02319,0.2097,0.241,Kepler-10,0.91,1.06,10.6,5708,584
Kepler-101 b,0.16,0.51,0.0474,Kepler-101,1.17,1.56,5.9,5667,1513
Kepler-101 c,0.01,0.112,0.0684,Kepler-101,1.17,1.56,5.9,5667,1413
Kepler-102 b,0.01353,0.042,0.055,Kepler-102,0.81,0.76,1.41,4909,792
Kepler-102 c,0.00944,0.052,0.067,Kepler-102,0.81,0.76,1.41,4909,718
Kepler-102 e,0.028,0.198,0.117,Kepler-102,0.81,0.76,1.41,4909,579
Kepler-102 f,0.01636,0.079,0.165,Kepler-102,0.81,0.76,1.41,4909,457
Kepler-107 b,0.01104,0.137,0.04544,Kepler-107,1.24,1.45,4.29,5854,1593
Kepler-107 c,0.02954,0.142,0.06064,Kepler-107,1.24,1.45,4.29,5854,1379
Kepler-107 d,0.01196,0.077,0.08377,Kepler-107,1.24,1.45,4.29,5854,1173
Kepler-107 e,0.02706,0.259,0.12639,Kepler-107,1.24,1.45,4.29,5854,955
Kepler-117 b,0.094,0.719,0.1445,Kepler-117,1.13,1.61,5.3,6150,984
Kepler-117 c,1.84,1.101,0.2804,Kepler-117,1.13,1.61,5.3,6150,704
Kepler-12 b,0.432,1.754,0.0553,Kepler-12,1.17,1.48,4,5947,1480
Kepler-15 b,0.66,0.96,0.05714,Kepler-15,1.02,0.99,3.7,5515,1225
Kepler-1514 b,5.28,1.108,0.753,Kepler-1514,1.2,1.29,2.9,6145,388
Kepler-1654 b,0.5,0.819,2.026,Kepler-1654,1.01,1.18,5,5597,206
Kepler-1656 b,0.1504,0.448,0.1974,Kepler-1656,1.03,1.1,6.31,5731,651
Kepler-1657 b,1.93,0.99,0.534,Kepler-1657,1.01,0.96,3.2,5830,347
Kepler-167 d,0.006,0.107,0.1405,Kepler-167,0.77,0.73,3.3,4890,536
Kepler-167 e,4,0.906,1.89,Kepler-167,0.77,0.73,3.3,4890,131
Kepler-17 b,2.45,1.31,0.02591,Kepler-17,1.16,1.05,1.78,5781,1570
Kepler-1704 b,4.16,1.066,2.027,Kepler-1704,1.132,1.697,7.4,5746,253.8
Kepler-1710 b,0.010997,0.2308,0.1157,Kepler-1710,0.983,0.91,9.1,5572,694
Kepler-1876 b,0.0076,0.0761,0.0758,Kepler-1876,1.19,1.48,4.4,6104,1300
Kepler-1971 b,0.00107,0.0455,0.008,Kepler-1971,0.41,0.4,3.5,3515,1180
Kepler-1972 b,0.00636,0.07155,0.0794,Kepler-1972,1.12,1.384,7.4,5818,1392
Kepler-20 b,0.03052,0.167,0.0463,Kepler-20,0.95,0.96,7.6,5495,1105
Kepler-20 c,0.04012,0.272,0.0949,Kepler-20,0.95,0.96,7.6,5495,772
Kepler-20 d,0.03168,0.245,0.3506,Kepler-20,0.95,0.96,7.6,5495,401
Kepler-2002 b,23,0.25,0.1357,Kepler-2002,0.91,1.2,8,5900,758
Kepler-21 b,0.01598,0.146,0.042717,Kepler-21,1.41,1.9,3.03,6305,2025
Kepler-39 b,20.1,1.24,0.164,Kepler-39,1.29,1.4,2.1,6350,897
Kepler-4 b,0.077,0.357,0.0456,Kepler-4,1.22,1.49,4.5,5857,1650
Kepler-40 b,2.2,1.17,0.08,Kepler-40,1.48,2.13,2.8,6510,1620
Kepler-41 b,0.56,1.29,0.03101,Kepler-41,1.15,1.29,4.4,5750,1790
Kepler-411 b,0.08055,0.214,0.0375,Kepler-411,0.87,0.82,0.212,4974,1138
Kepler-411 c,0.08306,0.394,0.0739,Kepler-411,0.87,0.82,0.212,4974,838
Kepler-411 d,0.04782,0.296,0.279,Kepler-411,0.87,0.82,0.212,4974,410
Kepler-412 b,0.941,1.341,0.02897,Kepler-412,1.17,1.29,5.1,5750,1850
Kepler-42 b,0.009,0.07,0.0116,Kepler-42,0.13,0.17,4.5,3068,519
Kepler-42 c,0.006,0.065,0.006,Kepler-42,0.13,0.17,4.5,3068,720
Kepler-42 d,0.003,0.051,0.0154,Kepler-42,0.13,0.17,4.5,3068,450
Kepler-420 Ab,1.45,0.94,0.382,Kepler-420 A,0.99,1.13,9.3,5520,511
Kepler-423 b,0.595,1.192,0.03585,Kepler-423,0.85,0.95,11,5560,1605
Kepler-425 b,0.25,0.978,0.0464,Kepler-425,0.93,0.86,5,5170,1070
Kepler-426 b,0.34,1.09,0.0414,Kepler-426,0.91,0.92,6,5725,1300
Kepler-427 b,0.29,1.23,0.091,Kepler-427,0.96,1.35,7,5800,1100
Kepler-428 b,1.27,1.08,0.0433,Kepler-428,0.87,0.8,5,5150,1070
Kepler-43 b,3.23,1.219,0.046,Kepler-43,1.32,1.42,2.8,6041,1620
Kepler-433 b,2.82,1.45,0.0679,Kepler-433,1.46,2.26,2.67,6360,1776
Kepler-434 b,2.86,1.13,0.1143,Kepler-434,1.2,1.38,4,5977,1000
Kepler-435 b,0.84,1.99,0.0948,Kepler-435,1.54,3.21,2.25,6161,1729
Kepler-44 b,1,1.09,0.0446,Kepler-44,1.12,1.35,5.8,5800,1544
Kepler-45 b,0.505,0.96,0.03,Kepler-45,0.59,0.55,0.5,3820,1000
Kepler-46 b,6,0.808,0.1968,Kepler-46,0.902,0.79,9.9,5309,543
Kepler-51 b,0.007,0.633,0.2514,Kepler-51,1.04,0.94,0.3,6018,543
Kepler-51 c,0.013,0.803,0.384,Kepler-51,1.04,0.94,0.3,6018,439
Kepler-51 d,0.024,0.865,0.509,Kepler-51,1.04,0.94,0.3,6018,381
Kepler-538 b,0.03335,0.198,0.4669,Kepler-538,0.89,0.87,5.3,5547,380
Kepler-539 b,0.97,0.747,0.4988,Kepler-539,1.05,0.95,1.1,5820,388
Kepler-6 b,0.668,1.304,0.04852,Kepler-6,1.21,1.39,3.8,5647,1460
Kepler-62 b,0.03,0.117,0.0553,Kepler-62,0.69,0.64,7,4925,750
Kepler-62 c,0.013,0.048,0.0929,Kepler-62,0.69,0.64,7,4925,578
